trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 1.0}",20,0,-97.99517107941743,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.65, 'e': 0.9900498337491681}",20,0,-162.74410317404772,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.65, 'e': 0.9801986733067553}",30,17,-40.38812262107732,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
4,False,"{'a': 0.65, 'e': 0.9704455335485082}",20,0,-78.39023268881958,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.65, 'e': 0.9607894391523232}",20,0,-85.07147624318245,"{0: 8, 1: 7, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.65, 'e': 0.951229424500714}",30,0,-113.2451774865883,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.65, 'e': 0.9417645335842487}",20,0,-74.39243870652649,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.65, 'e': 0.9323938199059483}",25,7,-77.43499877979777,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.65, 'e': 0.9231163463866358}",35,0,-367.1830956826605,"{0: 8, 1: 9, 2: 11, 3: 3, 4: 4}",0
10,False,"{'a': 0.65, 'e': 0.9139311852712282}",20,0,-82.08568101892006,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.65, 'e': 0.9048374180359595}",20,0,-85.60622364012191,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.65, 'e': 0.8958341352965282}",20,0,-51.44232332215165,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.65, 'e': 0.8869204367171575}",30,0,-120.56292248044852,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.65, 'e': 0.8780954309205613}",35,0,-72.45557993811174,"{0: 26, 1: 3, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.65, 'e': 0.8693582353988059}",35,0,-184.4364822360949,"{0: 20, 1: 3, 2: 9, 3: 1, 4: 2}",0
16,False,"{'a': 0.65, 'e': 0.8607079764250578}",20,0,-37.39885508364764,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.65, 'e': 0.8521437889662113}",20,0,-83.80687719919375,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
18,False,"{'a': 0.65, 'e': 0.8436648165963837}",20,0,-94.28015330151331,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.65, 'e': 0.835270211411272}",20,13,-8.051403997498506,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.65, 'e': 0.8269591339433623}",20,0,-51.03973252143836,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
21,False,"{'a': 0.65, 'e': 0.8187307530779818}",25,0,-0.3009677958102408,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
22,False,"{'a': 0.65, 'e': 0.8105842459701871}",20,0,-36.30995505261272,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
23,False,"{'a': 0.65, 'e': 0.8025187979624785}",25,0,-132.93146329586492,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
