trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-290.42002266872436,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,6,-64.88664674328317,"{0: 7, 1: 2, 2: 4, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,7,-79.2962527549903,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9851119396030626}",25,0,-141.3845249682482,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-166.74716044592202,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9753099120283326}",20,0,-231.25285348691497,"{0: 7, 1: 4, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,10,-66.90171379146929,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9656054162575665}",25,1,-63.211045167039096,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-49.19699882808115,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9559974818331}",20,0,-129.62483891144527,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-69.26943859809914,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9464851479534838}",20,13,-23.567283361091544,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-112.51197740960959,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9370674633774034}",20,0,-81.5200685725484,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-137.29452050043216,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,0,-17.275543263982353,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-115.91895711367819,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,-140.93449236129655,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-291.9664768358067,"{0: 15, 1: 2, 2: 4, 3: 5, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.9093729344682314}",30,0,-180.29469405667595,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-60.82704077848639,"{0: 10, 1: 8, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-145.51519574605794,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-144.18892687364016,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-201.03915340902824,"{0: 14, 1: 3, 2: 2, 3: 3, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-149.58535098607794,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-171.15574332919095,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-89.17368394258474,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-72.10392876172835,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-132.90288651218174,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,-150.4962768592287,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
